sync_count,timestamp,best_worker,best_performance,updated_workers,total_runtime
1,1752706296.774222,3,196.91381089066397,"[0, 1, 2]",0.003018617630004883
2,1752706326.7848222,3,196.91381089066397,"[0, 1, 2]",30.01361918449402
3,1752706356.7953875,3,196.91381089066397,"[0, 1, 2]",60.02418541908264
4,1752706386.80675,3,196.91381089066397,"[0, 1, 2]",90.0355474948883
5,1752706416.816889,3,196.91381089066397,"[0, 1, 2]",120.04568576812744
6,1752706446.825361,3,196.91381089066397,"[0, 1, 2]",150.05415797233582
7,1752706476.833564,3,196.91381089066397,"[0, 1, 2]",180.06236124038696
8,1752706506.8434684,3,196.91381089066397,"[0, 1, 2]",210.07226610183716
9,1752706536.852624,3,196.91381089066397,"[0, 1, 2]",240.08142137527466
10,1752706566.8638096,3,196.91381089066397,"[0, 1, 2]",270.09260630607605
11,1752706596.8724864,3,196.91381089066397,"[0, 1, 2]",300.1012833118439
12,1752706626.8817298,3,196.91381089066397,"[0, 1, 2]",330.11052656173706
13,1752706656.8894746,3,196.91381089066397,"[0, 1, 2]",360.1182715892792
14,1752706686.8999548,3,196.91381089066397,"[0, 1, 2]",390.12875151634216
15,1752706716.9083986,3,196.91381089066397,"[0, 1, 2]",420.1371955871582
16,1752706746.9161227,3,196.91381089066397,"[0, 1, 2]",450.14491963386536
17,1752706776.9227843,3,196.91381089066397,"[0, 1, 2]",480.15158104896545
18,1752706806.9295707,3,196.91381089066397,"[0, 1, 2]",510.158367395401
19,1752706836.940001,3,196.91381089066397,"[0, 1, 2]",540.1687977313995
20,1752706866.949134,3,196.91381089066397,"[0, 1, 2]",570.1779308319092
21,1752706896.9602003,3,196.91381089066397,"[0, 1, 2]",600.1889979839325
22,1752706926.9712358,3,196.91381089066397,"[0, 1, 2]",630.200032711029
23,1752706956.980251,3,196.91381089066397,"[0, 1, 2]",660.209047794342
24,1752706986.9907012,3,196.91381089066397,"[0, 1, 2]",690.2194981575012
25,1752707017.0012646,3,196.91381089066397,"[0, 1, 2]",720.2300612926483
26,1752707047.0112813,3,196.91381089066397,"[0, 1, 2]",750.2400779724121
27,1752707077.0215943,3,196.91381089066397,"[0, 1, 2]",780.2503910064697
28,1752707107.028825,3,196.91381089066397,"[0, 1, 2]",810.2576217651367
29,1752707137.0361197,3,196.91381089066397,"[0, 1, 2]",840.2649166584015
30,1752707167.0464554,3,196.91381089066397,"[0, 1, 2]",870.2752523422241
31,1752707197.0542915,3,196.91381089066397,"[0, 1, 2]",900.2830884456635
32,1752707227.0648658,3,196.91381089066397,"[0, 1, 2]",930.2936625480652
33,1752707257.0766351,3,196.91381089066397,"[0, 1, 2]",960.3054320812225
34,1752707287.0871077,3,196.91381089066397,"[0, 1, 2]",990.315904378891
35,1752707317.099126,3,196.91381089066397,"[0, 1, 2]",1020.3279237747192
36,1752707347.1095533,3,196.91381089066397,"[0, 1, 2]",1050.338350534439
37,1752707377.1212199,3,196.91381089066397,"[0, 1, 2]",1080.3500175476074
38,1752707407.130858,3,196.91381089066397,"[0, 1, 2]",1110.3596546649933
39,1752707437.1417575,3,196.91381089066397,"[0, 1, 2]",1140.3705542087555
40,1752707467.1506855,3,196.91381089066397,"[0, 1, 2]",1170.3794825077057
41,1752707497.1611888,3,196.91381089066397,"[0, 1, 2]",1200.389986038208
42,1752707527.1705642,3,196.91381089066397,"[0, 1, 2]",1230.399361371994
43,1752707557.180153,3,196.91381089066397,"[0, 1, 2]",1260.4089500904083
44,1752707587.1909509,3,196.91381089066397,"[0, 1, 2]",1290.4197475910187
45,1752707617.2028816,3,196.91381089066397,"[0, 1, 2]",1320.431678533554
46,1752707647.2103863,3,196.91381089066397,"[0, 1, 2]",1350.4391829967499
47,1752707677.2215931,3,196.91381089066397,"[0, 1, 2]",1380.4503901004791
48,1752707707.2333765,3,196.91381089066397,"[0, 1, 2]",1410.4621739387512
49,1752707737.2417455,3,196.91381089066397,"[0, 1, 2]",1440.4705424308777
50,1752707767.253215,3,196.91381089066397,"[0, 1, 2]",1470.482011795044
51,1752707797.2622075,3,196.91381089066397,"[0, 1, 2]",1500.491004228592
52,1752707827.2735925,3,196.91381089066397,"[0, 1, 2]",1530.5023894309998
53,1752707857.2836092,3,196.91381089066397,"[0, 1, 2]",1560.512405872345
54,1752707887.2929194,3,196.91381089066397,"[0, 1, 2]",1590.521716117859
55,1752707917.3046758,3,196.91381089066397,"[0, 1, 2]",1620.5334732532501
56,1752707947.315365,3,196.91381089066397,"[0, 1, 2]",1650.544162273407
57,1752707977.3288934,3,196.91381089066397,"[0, 1, 2]",1680.5576901435852
58,1752708007.3365703,3,196.91381089066397,"[0, 1, 2]",1710.5653672218323
59,1752708037.3464925,3,196.91381089066397,"[0, 1, 2]",1740.5752897262573
60,1752708067.3585851,3,196.91381089066397,"[0, 1, 2]",1770.5873823165894
61,1752708097.370528,3,196.91381089066397,"[0, 1, 2]",1800.5993268489838
62,1752708127.3872557,3,196.91381089066397,"[0, 1, 2]",1830.6160533428192
63,1752708157.3995576,3,196.91381089066397,"[0, 1, 2]",1860.6283543109894
64,1752708187.4109254,3,196.91381089066397,"[0, 1, 2]",1890.639722108841
