global_step,episode,step,timestamp,elapsed_time,worker_id,environment,device,obs_space_shape,action_space_type,action_space_size,system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,gpu_memory_gb,gpu_memory_max_gb,step_reward,step_action,step_log_prob,step_obs_mean,step_obs_std,step_obs_max,step_obs_min,action_selection_time,env_step_time,cumulative_reward,checkpoint_saved,checkpoint_episode,avg_reward,reward_change,model_file
0,0,0,1752712457.5802264,3.5261948108673096,10.0,CartPole-v1,cuda:0,"(4,)",<class 'gym.spaces.discrete.Discrete'>,2.0,82.9,78.2,13.648689270019531,225.82782363891602,0.0005035400390625,0.0005035400390625,,,,,,,,,,,,,,,
1,0,1,1752712458.0212703,3.967238664627075,10.0,,,,,,100.0,79.4,12.864456176757812,225.82768630981445,0.008440017700195312,0.009417057037353516,1.0,0.0,-0.6343778371810913,-0.12059468030929565,0.39129456877708435,0.2675827443599701,-0.6496130228042603,0.41824769973754883,0.002061128616333008,1.0,,,,,
2,0,2,1752712458.031075,3.977043628692627,10.0,,,,,,100.0,79.4,12.863773345947266,225.82768630981445,0.008441448211669922,0.009418487548828125,1.0,0.0,-0.656798243522644,-0.12211699783802032,0.535502016544342,0.40498408675193787,-0.6567991375923157,0.002471446990966797,0.0023806095123291016,2.0,,,,,
3,0,3,1752712458.0408068,3.9867751598358154,10.0,,,,,,100.0,79.4,12.858020782470703,225.82768630981445,0.008442878723144531,0.009419918060302734,1.0,1.0,-0.7102735042572021,-0.12078315019607544,0.7912512421607971,0.7629629373550415,-0.8594416975975037,0.002755880355834961,0.002263784408569336,3.0,,,,,
4,0,4,1752712458.050146,3.996114492416382,10.0,,,,,,100.0,79.5,12.829181671142578,225.82768630981445,0.00844430923461914,0.009421348571777344,1.0,1.0,-0.7364859580993652,-0.11204814910888672,0.6482850313186646,0.44781795144081116,-0.8196089267730713,0.002178668975830078,0.0016889572143554688,4.0,,,,,
5,0,5,1752712458.0601833,4.0061516761779785,10.0,,,,,,100.0,79.5,12.806350708007812,225.82767486572266,0.00844573974609375,0.009422779083251953,1.0,0.0,-0.6283637285232544,-0.10414223372936249,0.5829523801803589,0.5119190812110901,-0.8765004873275757,0.0030939579010009766,0.0020494461059570312,5.0,,,,,
6,0,6,1752712458.0714538,4.017422199249268,10.0,,,,,,100.0,79.5,12.80657958984375,225.8276710510254,0.00844717025756836,0.009424209594726562,1.0,0.0,-0.6493639945983887,-0.10155916213989258,0.7036244869232178,0.5199120044708252,-0.8841882944107056,0.0031173229217529297,0.002666473388671875,6.0,,,,,
7,0,7,1752712458.0826514,4.028619766235352,10.0,,,,,,100.0,79.5,12.814525604248047,225.8276596069336,0.008448600769042969,0.009425640106201172,1.0,0.0,-0.6684247851371765,-0.09569931030273438,0.9377543926239014,0.8325486183166504,-0.9414357542991638,0.002595186233520508,0.0033566951751708984,7.0,,,,,
8,0,8,1752712458.0952702,4.04123854637146,10.0,,,,,,100.0,79.5,12.799144744873047,225.8276596069336,0.008450031280517578,0.009427070617675781,1.0,0.0,-0.6830977201461792,-0.08604514598846436,1.228488564491272,1.201898217201233,-1.2209957838058472,0.003393411636352539,0.0031464099884033203,8.0,,,,,
9,0,9,1752712458.1089087,4.054877042770386,10.0,,,,,,100.0,79.5,12.783763885498047,225.8276596069336,0.008451461791992188,0.00942850112915039,1.0,0.0,-0.6935518980026245,-0.0720033049583435,1.5543173551559448,1.5757324695587158,-1.5779887437820435,0.0043714046478271484,0.003020048141479492,9.0,,,,,
10,0,10,1752712458.1228828,4.0688512325286865,10.0,,,,,,100.0,79.6,12.75711441040039,225.8276596069336,0.008452892303466797,0.009429931640625,1.0,1.0,-0.6852403879165649,-0.05291551351547241,1.9094469547271729,1.955999732017517,-1.9352471828460693,0.0051610469818115234,0.002901315689086914,10.0,,,,,
11,0,11,1752712458.1360435,4.082011938095093,10.0,,,,,,100.0,79.6,12.741348266601562,225.82766342163086,0.008454322814941406,0.00943136215209961,1.0,0.0,-0.6785253882408142,-0.022917747497558594,1.8507518768310547,1.6551254987716675,-1.666265845298767,0.0032672882080078125,0.003921031951904297,11.0,,,,,
12,0,12,1752712458.1483636,4.094331979751587,10.0,,,,,,100.0,79.6,12.71923828125,225.82815551757812,0.008455753326416016,0.009432792663574219,1.0,1.0,-0.7002177238464355,0.0037610530853271484,2.2093875408172607,2.053795576095581,-1.940940499305725,0.0035903453826904297,0.003126382827758789,12.0,,,,,
13,1,0,1752712458.565699,4.511667490005493,10.0,,,,,,88.4,79.9,12.589977264404297,225.82729721069336,0.017902851104736328,0.01896381378173828,1.0,0.0,-0.49220579862594604,-0.03263223543763161,0.14027105271816254,0.10359103232622147,-0.1945032775402069,0.003416299819946289,0.00307464599609375,1.0,,,,,
14,1,1,1752712458.578561,4.524529218673706,10.0,,,,,,69.2,79.9,12.590259552001953,225.82728576660156,0.017904281616210938,0.01896381378173828,1.0,0.0,-0.605133593082428,-0.03194151818752289,0.38998162746429443,0.45419546961784363,-0.4588523209095001,0.0042269229888916016,0.003187417984008789,2.0,,,,,
15,1,2,1752712458.5912893,4.537257432937622,10.0,,,,,,68.0,79.9,12.590263366699219,225.8272819519043,0.017905712127685547,0.01896381378173828,1.0,0.0,-0.7105209231376648,-0.028610020875930786,0.6803529262542725,0.8051207661628723,-0.8144302368164062,0.003674030303955078,0.0031800270080566406,3.0,,,,,
16,1,3,1752712458.6038663,4.549834489822388,10.0,,,,,,66.7,79.9,12.590263366699219,225.82727813720703,0.017907142639160156,0.01896381378173828,1.0,1.0,-0.6042732000350952,-0.02211707830429077,0.9834713339805603,1.1585402488708496,-1.1701709032058716,0.003365039825439453,0.0033800601959228516,4.0,,,,,
17,1,4,1752712458.6178873,4.563855409622192,10.0,,,,,,69.0,79.9,12.574066162109375,225.8272705078125,0.017908573150634766,0.01896381378173828,1.0,0.0,-0.6359121799468994,-0.007858306169509888,0.7735258340835571,0.8219536542892456,-0.8155583739280701,0.0038526058197021484,0.0034384727478027344,5.0,,,,,
