global_step,episode,step,timestamp,elapsed_time,worker_id,environment,device,obs_space_shape,action_space_type,action_space_size,system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,gpu_memory_gb,gpu_memory_max_gb,step_reward,step_action,step_log_prob,step_obs_mean,step_obs_std,step_obs_max,step_obs_min,action_selection_time,env_step_time,cumulative_reward
0,0,0,1752712456.2208955,2.8286614418029785,4,CartPole-v1,cuda:0,"(4,)",<class 'gym.spaces.discrete.Discrete'>,2.0,75.3,71.2,17.97435760498047,225.82835388183594,0.0005035400390625,0.0005035400390625,,,,,,,,,,
1,0,1,1752712456.7524512,3.3602166175842285,4,,,,,,100.0,74.8,15.744895935058594,225.82830047607422,0.008440017700195312,0.009417057037353516,1.0,1.0,-0.6855688691139221,-0.27134186029434204,0.237882599234581,-0.03162319213151932,-0.511728048324585,0.49684786796569824,0.0008776187896728516,1.0
2,0,2,1752712456.7596922,3.367457628250122,4,,,,,,100.0,74.9,15.7078857421875,225.82830047607422,0.008441448211669922,0.009418487548828125,1.0,1.0,-0.6862186193466187,-0.27456650137901306,0.3604166507720947,0.2622847259044647,-0.5100617408752441,0.0014023780822753906,0.00021910667419433594,2.0
3,0,3,1752712456.766888,3.3746533393859863,4,,,,,,100.0,74.9,15.679527282714844,225.82830047607422,0.008442878723144531,0.009419918060302734,1.0,0.0,-0.6990187168121338,-0.2844025492668152,0.6253902316093445,0.6304916739463806,-0.7837497591972351,0.0014071464538574219,0.0002181529998779297,3.0
4,0,4,1752712456.7739382,3.3817036151885986,4,,,,,,100.0,75.0,15.638431549072266,225.82830047607422,0.00844430923461914,0.009421348571777344,1.0,0.0,-0.6965036988258362,-0.30344170331954956,0.3921089470386505,0.26421672105789185,-0.6367128491401672,0.001573801040649414,0.000213623046875,4.0
5,0,5,1752712456.7821827,3.3899481296539307,4,,,,,,100.0,75.0,15.6004638671875,225.82830047607422,0.00844573974609375,0.009422779083251953,1.0,0.0,-0.6966789364814758,-0.31823182106018066,0.2898362874984741,-0.0935768187046051,-0.708114743232727,0.0014190673828125,0.0006000995635986328,5.0
6,0,6,1752712456.7900465,3.3978118896484375,4,,,,,,100.0,75.1,15.556709289550781,225.8282928466797,0.00844717025756836,0.009424209594726562,1.0,0.0,-0.6972992420196533,-0.3284469544887543,0.411414235830307,0.24587976932525635,-0.7248325943946838,0.0015561580657958984,0.00020384788513183594,6.0
7,0,7,1752712456.7971377,3.4049031734466553,4,,,,,,100.0,75.1,15.540367126464844,225.82828903198242,0.008448600769042969,0.009425640106201172,1.0,0.0,-0.6975439190864563,-0.33367204666137695,0.6382033824920654,0.584638237953186,-0.8329295516014099,0.0016069412231445312,0.0003085136413574219,7.0
8,0,8,1752712456.8044686,3.412234306335449,4,,,,,,100.0,75.2,15.506240844726562,225.8282814025879,0.008450031280517578,0.009427070617675781,1.0,0.0,-0.6985756158828735,-0.33340680599212646,0.8978056907653809,0.9249861240386963,-1.198669672012329,0.0015697479248046875,0.0006108283996582031,8.0
9,0,9,1752712456.8122563,3.4200215339660645,4,,,,,,100.0,75.2,15.479114532470703,225.8282814025879,0.008451461791992188,0.00942850112915039,1.0,0.0,-0.7020179033279419,-0.32707008719444275,1.1762140989303589,1.2691742181777954,-1.5647094249725342,0.0014495849609375,0.0003058910369873047,9.0
10,0,10,1752712456.8273506,3.4351160526275635,4,,,,,,100.0,75.3,15.43393325805664,225.8282814025879,0.008452892303466797,0.009429931640625,1.0,0.0,-0.7078946828842163,-0.31400489807128906,1.4722890853881836,1.619388222694397,-1.931192398071289,0.005704402923583984,0.0006325244903564453,10.0
11,0,11,1752712456.831688,3.439453125,4,,,,,,100.0,75.3,15.424560546875,225.8282814025879,0.008454322814941406,0.00943136215209961,1.0,1.0,-0.672184407711029,-0.29348617792129517,1.7879754304885864,1.9777133464813232,-2.298224925994873,0.001497507095336914,0.0005998611450195312,11.0
12,0,12,1752712456.8416307,3.4493961334228516,4,,,,,,100.0,75.4,15.398845672607422,225.8282814025879,0.008455753326416016,0.009432792663574219,1.0,1.0,-0.6738891005516052,-0.262807697057724,1.560340404510498,1.6190778017044067,-1.9311552047729492,0.0014829635620117188,0.00045561790466308594,12.0
