episode,global_step,timestamp,elapsed_time,episode_steps,episode_reward,episode_length,episode_collection_time,avg_step_time,total_episodes,worker_id,reward_change,avg_reward_last_100,distributed_training,sync_due,loss_total,loss_policy,loss_value,loss_entropy,reward_mean,reward_std,training_time,action_selection_mean,action_selection_std,action_selection_total,env_step_mean,env_step_std,env_step_total,episode_collection_mean,episode_collection_std,episode_collection_total,training_mean,training_std,training_total,global_step_mean,global_step_std,global_step_min,global_step_max,global_step_final,episode_mean,episode_std,episode_min,episode_max,episode_final,step_mean,step_std,step_min,step_max,step_final,timestamp_mean,timestamp_std,timestamp_min,timestamp_max,timestamp_final,elapsed_time_mean,elapsed_time_std,elapsed_time_min,elapsed_time_max,elapsed_time_final,worker_id_mean,worker_id_std,worker_id_min,worker_id_max,worker_id_final,action_space_size_mean,action_space_size_std,action_space_size_min,action_space_size_max,action_space_size_final,gpu_memory_gb_mean,gpu_memory_gb_std,gpu_memory_gb_min,gpu_memory_gb_max,gpu_memory_gb_final,gpu_memory_max_gb_mean,gpu_memory_max_gb_std,gpu_memory_max_gb_min,gpu_memory_max_gb_max,gpu_memory_max_gb_final,step_reward_mean,step_reward_std,step_reward_min,step_reward_max,step_reward_final,step_action_mean,step_action_std,step_action_min,step_action_max,step_action_final,step_log_prob_mean,step_log_prob_std,step_log_prob_min,step_log_prob_max,step_log_prob_final,step_obs_mean_mean,step_obs_mean_std,step_obs_mean_min,step_obs_mean_max,step_obs_mean_final,step_obs_std_mean,step_obs_std_std,step_obs_std_min,step_obs_std_max,step_obs_std_final,step_obs_max_mean,step_obs_max_std,step_obs_max_min,step_obs_max_max,step_obs_max_final,step_obs_min_mean,step_obs_min_std,step_obs_min_min,step_obs_min_max,step_obs_min_final,action_selection_time_mean,action_selection_time_std,action_selection_time_min,action_selection_time_max,action_selection_time_final,env_step_time_mean,env_step_time_std,env_step_time_min,env_step_time_max,env_step_time_final,cumulative_reward_mean,cumulative_reward_std,cumulative_reward_min,cumulative_reward_max,cumulative_reward_final,checkpoint_saved_mean,checkpoint_saved_std,checkpoint_saved_min,checkpoint_saved_max,checkpoint_saved_final,checkpoint_episode_mean,checkpoint_episode_std,checkpoint_episode_min,checkpoint_episode_max,checkpoint_episode_final,avg_reward_mean,avg_reward_std,avg_reward_min,avg_reward_max,avg_reward_final,reward_change_mean,reward_change_std,reward_change_min,reward_change_max,reward_change_final
0,33,1752712457.0845282,3.48716139793396,33,32.0,32,0.5198194980621338,0.013561412692070007,1,8,0.0,32.0,True,False,93.48412216007709,-0.01416444480419159,94.16756973266601,-0.669283127784729,1.0,0.0,0.4007906913757324,0.013073205947875977,0.06330746724671518,0.41834259033203125,0.00048820674419403076,0.00021293938857840826,0.015622615814208984,0.5198194980621338,0.0,0.5198194980621338,0.4007906913757324,0.0,0.4007906913757324,16.0,9.521904571390467,0,32,32,0.0,0.0,0,0,0,16.0,9.521904571390467,0,32,32,1752712456.5655656,0.08746166400802216,1752712456.125041,1752712456.6503708,1752712456.6503708,2.968198942415642,0.08746160774143981,2.527674436569214,3.0530037879943848,3.0530037879943848,8.0,0.0,8,8,8,2.0,0.0,2.0,2.0,2.0,0.008221019398082386,0.0013643324944061811,0.0005035400390625,0.008484363555908203,0.008484363555908203,0.009168451482599432,0.0015318096287235139,0.0005035400390625,0.009461402893066406,0.009461402893066406,1.0,0.0,1.0,1.0,1.0,0.53125,0.4990224819584785,0.0,1.0,0.0,-0.7039391286671162,0.10617219594324595,-0.8787115812301636,-0.5547325611114502,-0.7991617918014526,0.19037644495256245,0.04278594035311044,0.09766125679016113,0.24108102917671204,0.09766125679016113,0.8173635108396411,0.5574840796409865,0.07742562890052795,2.056314468383789,2.056314468383789,1.0979550750926137,0.6250145491109105,0.2315911054611206,2.4691247940063477,2.4691247940063477,-0.6533243198646232,0.5159083957859195,-1.9480985403060913,0.05392979830503464,-1.9480985403060913,0.013073205947875977,0.06330746724671518,0.001394033432006836,0.3655526638031006,0.0018787384033203125,0.00048820674419403076,0.00021293938857840826,0.00021123886108398438,0.0009140968322753906,0.0007886886596679688,16.5,9.233092656309694,1.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,
1,54,1752712457.351622,3.754255533218384,21,21.0,21,0.1416013240814209,0.0028744425092424664,2,8,0.0,26.5,True,False,48.06972783691183,-0.013971949751223178,48.77177047729492,-0.6880706906318664,1.0,0.0,0.08580708503723145,0.008684275285252984,0.04949077199104681,0.4602665901184082,0.0006426775230551666,0.0005952684803341449,0.03406190872192383,0.33071041107177734,0.18910908699035645,0.6614208221435547,0.24329888820648193,0.1574918031692505,0.48659777641296387,43.0,6.0553007081949835,33,53,53,1.0,0.0,1,1,1,10.0,6.0553007081949835,0,20,20,1752712457.1948154,0.0432530440887106,1752712457.1266131,1752712457.2614276,1752712457.2614276,3.597448700950259,0.04325307695593883,3.5292460918426514,3.6640608310699463,3.6640608310699463,8.0,0.0,8,8,8,,,,,,0.01794576644897461,8.662177145283198e-06,0.017931461334228516,0.017960071563720703,0.017960071563720703,0.01910686492919922,0.0,0.01910686492919922,0.01910686492919922,0.01910686492919922,1.0,0.0,1.0,1.0,1.0,0.5714285714285714,0.49487165930539356,0.0,1.0,1.0,-0.6876763417607262,0.129679540925777,-0.8733137845993042,-0.5411806106567383,-0.6197145581245422,-0.2790758992944445,0.10812406639299339,-0.5228015184402466,-0.1556885689496994,-0.5228015184402466,0.5855214233909335,0.34799965173803254,0.1657763570547104,1.3648735284805298,1.2994664907455444,0.37452476030393017,0.3477813260577115,-0.01113749947398901,1.0695072412490845,0.7253363132476807,-0.8785966876007262,0.435681645212819,-1.9529255628585815,-0.3123745322227478,-1.9529255628585815,0.001996380942208426,0.0006327835300117894,0.0014257431030273438,0.003897428512573242,0.0014872550964355469,0.0008780615670340401,0.0008564100684525149,0.00021266937255859375,0.00443267822265625,0.00028777122497558594,11.0,6.0553007081949835,1.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,
2,69,1752712457.570616,3.9732491970062256,15,15.0,15,0.1357412338256836,0.0037806351979573567,3,8,0.0,22.666666666666668,True,False,22.884577822166808,-0.04253025702821631,23.58156108856201,-0.6544530093669891,1.0,0.0,0.07485818862915039,0.0073575026848736935,0.04376763218391787,0.5003101825714111,0.000745997709386489,0.0006900349320219345,0.05072784423828125,0.2657206853230794,0.17969092008408794,0.7971620559692383,0.18715198834737143,0.15113149055677508,0.5614559650421143,61.0,4.320493798938574,54,68,68,2.0,0.0,2,2,2,7.0,4.320493798938574,0,14,14,1752712457.4348822,0.04216016938643046,1752712457.3645139,1752712457.4932358,1752712457.4932358,3.8375149885813395,0.04216014464775856,3.7671470642089844,3.8958687782287598,3.8958687782287598,8.0,0.0,8,8,8,,,,,,0.017925739288330078,6.1805159553602794e-06,0.017915725708007812,0.017935752868652344,0.017935752868652344,0.01910686492919922,0.0,0.01910686492919922,0.01910686492919922,0.01910686492919922,1.0,0.0,1.0,1.0,1.0,0.26666666666666666,0.44221663871405337,0.0,1.0,1.0,-0.8093186438083648,0.17644059360820039,-1.0078966617584229,-0.4863356649875641,-0.5434770584106445,-0.05534549430012703,0.02396426277624973,-0.08351871371269226,0.0064716339111328125,0.0064716339111328125,1.1312998374303183,0.7228712802200403,0.2642212212085724,2.723378896713257,2.723378896713257,1.156615565220515,0.7475220671613858,0.2655952274799347,2.7314975261688232,2.7314975261688232,-1.309175576766332,0.7535757351443283,-2.820373773574829,-0.37469929456710815,-2.820373773574829,0.0026695728302001953,0.0012489979105480666,0.0015170574188232422,0.005894184112548828,0.0020613670349121094,0.0011110623677571614,0.0008576306481290564,0.0003345012664794922,0.0033597946166992188,0.001089334487915039,8.0,4.320493798938574,1.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,
3,79,1752712457.7333286,4.1359617710113525,10,10.0,10,0.08904457092285156,0.00478050708770752,4,8,0.0,19.5,True,False,5.733407359113917,-0.04264974118210389,6.43002667427063,-0.6539695739746094,1.0,0.0,0.06688427925109863,0.0067666463362864955,0.04089530824810462,0.5277984142303467,0.0009108292750823192,0.0007814592963671438,0.0710446834564209,0.22155165672302246,0.1734051018076386,0.8862066268920898,0.15708506107330322,0.14086378500362243,0.6283402442932129,73.5,2.8722813232690143,69,78,78,3.0,0.0,3,3,3,4.5,2.8722813232690143,0,9,9,1752712457.6240616,0.025921575374309478,1752712457.5833647,1752712457.6638012,1752712457.6638012,4.02669472694397,0.025921546473254814,3.9859979152679443,4.066434383392334,4.066434383392334,8.0,0.0,8,8,8,,,,,,0.0179135799407959,4.108831391242525e-06,0.017907142639160156,0.01792001724243164,0.01792001724243164,0.01910686492919922,0.0,0.01910686492919922,0.01910686492919922,0.01910686492919922,1.0,0.0,1.0,1.0,1.0,0.8,0.4,0.0,1.0,1.0,-0.8233558893203735,0.17242928726205448,-1.0807760953903198,-0.510541558265686,-1.0462136268615723,-0.06104629449546337,0.04605316735857365,-0.15321975946426392,-0.016941502690315247,-0.15321975946426392,1.094686757028103,0.5620802021190188,0.22001273930072784,1.9748550653457642,1.9748550653457642,1.0894894167780875,0.5130743589042054,0.20497582852840424,1.739754557609558,1.739754557609558,-1.1291482329368592,0.5407635321582254,-1.8869292736053467,-0.3076668381690979,-1.8869292736053467,0.0027488231658935546,0.0005380738355149791,0.0021190643310546875,0.0037980079650878906,0.0024003982543945312,0.002031683921813965,0.0002905480215449301,0.0015940666198730469,0.0025987625122070312,0.0019426345825195312,5.5,2.8722813232690143,1.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,
4,92,1752712457.9194403,4.322073698043823,13,13.0,13,0.10993051528930664,0.003951751268826998,5,8,0.0,18.2,True,False,8.483614958944516,-0.03675774174670767,9.143536376953126,-0.6231636762619018,1.0,0.0,0.07166910171508789,0.0061608749431568185,0.037892522424753654,0.5606396198272705,0.0009843543335631654,0.0007631970989053542,0.08957624435424805,0.1992274284362793,0.161396865337368,0.9961371421813965,0.14000186920166016,0.1305428148866528,0.7000093460083008,85.0,3.7416573867739413,79,91,91,4.0,0.0,4,4,4,6.0,3.7416573867739413,0,12,12,1752712457.7893195,0.031028266904629287,1752712457.7419164,1752712457.8453357,1752712457.8453357,4.1919528887822075,0.03102825925123747,4.144549608230591,4.247968912124634,4.247968912124634,8.0,0.0,8,8,8,,,,,,0.017908573150634766,5.352483825837052e-06,0.01789999008178711,0.017917156219482422,0.017917156219482422,0.01910686492919922,0.0,0.01910686492919922,0.01910686492919922,0.01910686492919922,1.0,0.0,1.0,1.0,1.0,0.6153846153846154,0.48650425541051995,0.0,1.0,0.0,-0.7072050319268153,0.31679204370574154,-1.3700952529907227,-0.30394935607910156,-0.30394935607910156,0.09406203031539917,0.052428360238494245,-0.014794468879699707,0.1466984748840332,-0.014794468879699707,1.083284685244927,0.4770087085418671,0.23602253198623657,1.9190038442611694,1.9190038442611694,1.175816535949707,0.41304041682207,0.49415427446365356,1.8618073463439941,1.8618073463439941,-0.9860974302372107,0.47377121126889116,-1.741599202156067,0.002277100458741188,-1.741599202156067,0.002526246584378756,0.0009659671513106105,0.0015804767608642578,0.005690813064575195,0.002632617950439453,0.0014255046844482422,0.00043147149817497437,0.0008080005645751953,0.0023508071899414062,0.002159595489501953,7.0,3.7416573867739413,1.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,
5,109,1752712458.1484785,4.551111459732056,17,17.0,17,0.14492034912109375,0.0043552062090705425,6,8,0.0,18.0,True,False,13.160968263855423,-0.009039054402862411,13.65695400238037,-0.4869466841220856,1.0,0.0,0.07938289642333984,0.0055722638412758155,0.03480969008198168,0.6018044948577881,0.0011337951377586083,0.0008205516379087237,0.12244987487792969,0.19017624855041504,0.14871810942374095,1.1410574913024902,0.1298987070719401,0.12129121233848503,0.7793922424316406,100.0,4.898979485566356,92,108,108,5.0,0.0,5,5,5,8.0,4.898979485566356,0,16,16,1752712457.9950297,0.04363814972266114,1752712457.9301362,1752712458.0668867,1752712458.0668867,4.397662948159611,0.0436380988525386,4.3327696323394775,4.469519853591919,4.469519853591919,8.0,0.0,8,8,8,,,,,,0.017915725708007812,7.008046367978606e-06,0.017904281616210938,0.017927169799804688,0.017927169799804688,0.01910686492919922,0.0,0.01910686492919922,0.01910686492919922,0.01910686492919922,1.0,0.0,1.0,1.0,1.0,0.47058823529411764,0.4991341984846218,0.0,1.0,0.0,-0.6577978116624495,0.6057670409087434,-2.189678192138672,-0.06597816944122314,-0.06597816944122314,0.0411126666209277,0.08994945541651117,-0.15325364470481873,0.13383576273918152,-0.15325364470481873,1.0295754583442913,0.4020621383125293,0.27983593940734863,1.558163046836853,1.558163046836853,1.175573334974401,0.42396886274434165,0.5482729077339172,1.8148688077926636,1.8148688077926636,-1.0372336754465805,0.5297188062744538,-1.958374261856079,-0.03230229392647743,-1.958374261856079,0.0024214632370892692,0.0004294927426115046,0.0015940666198730469,0.0032994747161865234,0.0015940666198730469,0.001933742971981273,0.0006325179631097474,0.00020885467529296875,0.0029871463775634766,0.001968860626220703,9.0,4.898979485566356,1.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,
6,144,1752712458.6701407,5.0727739334106445,35,35.0,35,0.43782734870910645,0.006800692422049386,7,8,0.0,20.428571428571427,True,False,60.61752298624613,-0.0011459037532667083,61.12685089111328,-0.5081820011138916,1.0,0.0,0.07676959037780762,0.005113428289240057,0.030264034950061792,0.7312202453613281,0.0016157927213015257,0.0011647729107738052,0.23105835914611816,0.2255549771445138,0.16268810772882333,1.5788848400115967,0.12230883325849261,0.11382242365846341,0.8561618328094482,126.0,10.099504938362077,109,143,143,6.0,0.0,6,6,6,17.0,10.099504938362077,0,34,34,1752712458.368387,0.1295760677734683,1752712458.1626506,1752712458.5910447,1752712458.5910447,4.771020453316825,0.12957608627179637,4.565283536911011,4.993677854537964,4.993677854537964,8.0,0.0,8,8,8,,,,,,0.017934322357177734,1.4447457702201e-05,0.017910003662109375,0.017958641052246094,0.017958641052246094,0.01910686492919922,0.0,0.01910686492919922,0.01910686492919922,0.01910686492919922,1.0,0.0,1.0,1.0,1.0,0.5428571428571428,0.4981598792617913,0.0,1.0,0.0,-0.41081328221729824,0.36049490497301634,-1.3287423849105835,-0.037658095359802246,-0.3832927942276001,-0.4799215612666948,0.2880919806023692,-1.0720378160476685,-0.08733484148979187,-1.0720378160476685,1.0202785662242344,0.36675924355440603,0.22069862484931946,1.9083170890808105,1.695284128189087,0.6867713789455593,0.44086246865667894,-0.004781895317137241,1.7447601556777954,1.398871660232544,-1.5459500534193857,0.5833275651467206,-2.672358274459839,-0.3979494571685791,-2.392641305923462,0.0036975928715297156,0.0007035135279610349,0.0025000572204589844,0.005360841751098633,0.004500150680541992,0.003103099550519671,0.0007324515191579021,0.0017955303192138672,0.004671573638916016,0.003150463104248047,18.0,10.099504938362077,1.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,
7,154,1752712458.883319,5.285952091217041,10,10.0,10,0.1432483196258545,0.007947349548339843,8,8,0.0,19.125,True,False,9.709605095824227,-0.06282901660539224,10.259150743484497,-0.4867166310548782,1.0,0.0,0.06466078758239746,0.005060139824362362,0.02925998068526739,0.7742013931274414,0.0017486974304797604,0.0012496719746365383,0.2675507068634033,0.2152666449546814,0.1545960584930142,1.7221331596374512,0.11510282754898071,0.10816462794994267,0.9208226203918457,148.5,2.8722813232690143,144,153,153,7.0,0.0,7,7,7,4.5,2.8722813232690143,0,9,9,1752712458.7461143,0.042783752973287965,1752712458.685333,1752712458.8160377,1752712458.8160377,5.148747801780701,0.04278380397070417,5.087966203689575,5.218670845031738,5.218670845031738,8.0,0.0,8,8,8,,,,,,0.017942190170288086,4.108831391242525e-06,0.017935752868652344,0.017948627471923828,0.017948627471923828,0.019129276275634766,0.0,0.019129276275634766,0.019129276275634766,0.019129276275634766,1.0,0.0,1.0,1.0,1.0,0.6,0.4898979485566356,0.0,1.0,0.0,-0.31775025725364686,0.25160720461249636,-0.9122958779335022,-0.06875717639923096,-0.06875717639923096,0.0012330498546361923,0.059169471666664385,-0.11865949630737305,0.05956223979592323,-0.11865949630737305,1.1663081482052804,0.5969111734974024,0.1872405856847763,1.8573851585388184,1.6792848110198975,1.2050425976514816,0.5732753576920447,0.3248867392539978,2.0288126468658447,1.618071436882019,-1.2747856922447682,0.6521216654952607,-2.1231329441070557,-0.06745118647813797,-1.8224486112594604,0.004298114776611328,0.000938505870067975,0.0032532215118408203,0.0058634281158447266,0.005152463912963867,0.0036492347717285156,0.000792666560742242,0.002555370330810547,0.005357980728149414,0.003479480743408203,5.5,2.8722813232690143,1.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,
8,164,1752712459.1051078,5.5077409744262695,10,10.0,10,0.13803601264953613,0.007601046562194824,9,8,0.0,18.11111111111111,True,False,1.1201018631726039,-0.0009470283717382344,1.3731639444828034,-0.2521150529384613,1.0,0.0,0.07681751251220703,0.004992454329882662,0.028349797230480905,0.813770055770874,0.001864984722956558,0.001299006069156041,0.30399250984191895,0.20668546358744302,0.14776158383465776,1.8601691722869873,0.11084890365600586,0.10268592700694251,0.9976401329040527,158.5,2.8722813232690143,154,163,163,8.0,0.0,8,8,8,4.5,2.8722813232690143,0,9,9,1752712458.963057,0.03904189627004687,1752712458.9018834,1752712459.0264928,1752712459.0264928,5.365690207481384,0.039041846475028966,5.304516553878784,5.429125785827637,5.429125785827637,8.0,0.0,8,8,8,,,,,,0.01790642738342285,4.108831391242525e-06,0.01789999008178711,0.017912864685058594,0.017912864685058594,0.019129276275634766,0.0,0.019129276275634766,0.019129276275634766,0.019129276275634766,1.0,0.0,1.0,1.0,1.0,0.9,0.3,0.0,1.0,0.0,-0.2143090307712555,0.3026572852709373,-1.0889698266983032,-0.041367292404174805,-1.0889698266983032,0.15973960757255554,0.034181100659501494,0.08233845233917236,0.18786510825157166,0.08233845233917236,1.4546899408102036,0.9200146026930943,0.2331802248954773,3.0544543266296387,3.0544543266296387,1.6525180280208587,0.9155831773149627,0.5124289393424988,3.1625661849975586,3.1625661849975586,-1.5189427798613906,1.0023143167867075,-3.1368520259857178,0.0176978949457407,-3.1368520259857178,0.0039568662643432615,0.0005530150786133623,0.003154754638671875,0.004912376403808594,0.004912376403808594,0.0036441802978515623,0.0004886245056527244,0.0029659271240234375,0.0046923160552978516,0.0046923160552978516,5.5,2.8722813232690143,1.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,
9,174,1752712459.3190873,5.721720457077026,10,10.0,10,0.14005494117736816,0.007711291313171387,10,8,0.0,17.3,True,True,0.047112134594935996,-0.00834800253389396,0.21039074659347534,-0.15493060946464537,1.0,0.0,0.07063150405883789,0.004929877430028309,0.027519761297884245,0.8528687953948975,0.00197691724479543,0.0013444170936603545,0.3420066833496094,0.20002241134643556,0.14159697552593237,2.0002241134643555,0.10682716369628906,0.0981607313312195,1.0682716369628906,168.5,2.8722813232690143,164,173,173,9.0,0.0,9,9,9,4.5,2.8722813232690143,0,9,9,1752712459.1842048,0.03997323313326526,1752712459.1197727,1752712459.246209,1752712459.246209,5.586837959289551,0.039973203455383494,5.5224058628082275,5.648841857910156,5.648841857910156,8.0,0.0,8,8,8,,,,,,0.01790642738342285,4.108831391242525e-06,0.01789999008178711,0.017912864685058594,0.017912864685058594,0.019129276275634766,0.0,0.019129276275634766,0.019129276275634766,0.019129276275634766,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.05147261619567871,0.04210699158050897,-0.14546704292297363,-0.015098094940185547,-0.14546704292297363,0.046790394186973575,0.02295907847289844,-0.008093476295471191,0.06616075336933136,-0.008093476295471191,1.3505363404750823,0.80171939789465,0.3218735158443451,2.777648687362671,2.777648687362671,1.6376414120197296,0.9206196378650727,0.47773823142051697,3.1507017612457275,3.1507017612457275,-1.4989749252796174,0.9234172017649461,-3.033118963241577,-0.3037167489528656,-3.033118963241577,0.003909873962402344,0.0005839914031695012,0.0030663013458251953,0.004765510559082031,0.003555774688720703,0.003801417350769043,0.00048072530371189655,0.002959728240966797,0.004422664642333984,0.0042264461517333984,5.5,2.8722813232690143,1.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,
